Type,State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Coal,AK,"7,189","11,552","13,559","11,999","12,029","9,888","16,431","18,462","15,998","13,191","13,159","14,121","12,753","13,286","12,485","15,271","13,706","10,259","4,689","4,182","4,310","12,521","13,182","12,403","12,883","11,587","12,150","4,330","4,362","4,719","12,387","12,675","12,509","13,630","12,578","12,882","11,152","11,719","16,471","16,394","16,455","15,911","16,429","12,552","14,075","13,994","14,981","13,662","14,705","14,505","14,548","15,481","15,521","14,819","18,225","19,511","16,613","16,376"
Coal,AL,"395,400","382,455","427,177","442,465","459,000","533,142","583,457","580,163","618,335","641,466","675,603","626,054","669,734","688,650","653,405","640,063","632,096","629,412","577,580","670,208","661,023","629,957","511,059","532,596","584,607","662,890","660,525","660,678","652,717","682,145","682,496","723,921","775,653","812,948","773,804","828,277","890,742","867,264","856,479","866,512","904,181","842,337","845,999","873,735","853,917","890,098","886,678","888,436","842,826","630,969","718,684","651,032","547,004","565,051","575,912","494,311","410,168","378,890"
Coal,AR,356,275,160,135,186,163,111,104,132,0,0,51,50,"2,262","2,665",862,"3,578","5,244","22,833","31,728","36,648","101,935","125,193","177,458","163,879","219,791","224,547","211,011","218,821","203,343","212,707","215,945","220,706","200,450","222,169","237,334","260,060","246,786","254,658","267,022","267,579","273,982","255,242","253,653","270,210","247,169","256,907","275,037","278,849","264,083","293,689","306,119","296,732","327,099","339,214","226,889","246,437","267,591"
Coal,AZ,210,211,"6,291","8,432","9,103","7,030","7,373","7,184","8,137","8,381","8,623","8,876","7,523","9,927","48,359","92,449","139,960","179,847","159,980","246,230","244,994","319,438","336,245","295,442","324,862","342,013","295,888","282,882","309,041","353,144","343,415","347,261","369,743","389,839","402,390","342,889","342,839","369,872","386,770","403,262","432,810","424,023","406,479","406,537","425,413","428,445","431,985","438,524","458,727","413,260","457,909","459,909","420,570","454,865","447,849","385,822","323,878","334,512"
Coal,CA,"35,903","59,106","39,681","46,127","53,723","63,693","51,515","53,949","57,011","60,031","61,812","51,015","47,452","66,956","60,670","56,405","66,630","75,109","67,892","68,565","66,170","78,401","69,415","32,022","37,243","45,264","42,519","44,951","50,824","66,427","84,160","89,519","91,515","84,669","84,616","84,323","80,324","82,651","66,157","69,547","70,012","67,839","70,010","69,469","68,909","67,422","67,017","66,495","63,050","52,403","54,972","55,264","43,832","38,151","39,486","30,967","32,077","33,663"
Coal,CO,"68,206","76,938","79,296","88,958","89,600","98,117","109,021","107,862","112,995","104,487","115,688","105,682","119,005","140,487","138,302","159,333","185,147","223,762","218,619","238,041","247,615","278,732","276,433","254,698","286,888","299,070","295,376","296,539","311,372","323,462","337,375","330,609","339,652","347,233","359,375","344,201","350,712","362,423","364,889","364,236","387,879","400,028","390,480","394,163","390,186","386,670","394,348","388,586","385,416","350,224","382,623","368,871","370,085","363,532","350,526","340,107","321,476","315,835"
Coal,CT,"101,694","107,540","112,064","117,384","120,798","128,613","136,198","109,548","82,430","59,211","48,577","36,411","4,249","2,625","6,522","1,272","1,152","1,167",807,"1,070",364,904,763,712,"1,489","21,316","21,216","21,396","23,112","23,762","38,511","38,582","39,166","37,303","38,584","40,787","41,120","44,982","32,569","15,231","36,246","39,991","34,206","41,864","43,997","42,023","45,722","39,931","45,188","26,265","28,711","6,081","9,290","7,679","9,097","6,536","2,340","2,507"
Coal,DC,"27,792","25,770","22,437","18,598","18,111","13,804","23,936","22,600","23,692","32,544","28,427","15,432","12,557","14,060","12,288","10,142","5,844","3,991","2,017","2,889","3,284","2,406","3,064","3,040","2,475","3,489","1,359","1,742",781,"1,488","1,733","1,653","1,254","1,279","1,169",143,575,983,155,151,177,741,99,173,741,939,0,502,391,331,71,48,77,4,48,44,34,30
Coal,DE,"20,496","20,776","22,586","26,494","29,241","29,030","38,690","40,712","44,082","41,720","37,238","36,677","23,493","21,047","21,254","22,938","20,186","17,713","21,812","23,914","28,063","50,618","47,947","73,014","72,797","71,436","66,423","70,471","69,034","61,212","59,491","56,853","46,120","63,469","57,477","52,448","50,779","48,586","45,817","35,915","50,147","38,335","40,536","46,997","53,599","56,716","56,625","63,839","60,891","33,938","30,253","17,881","17,384","18,254","10,238","7,149","8,199","4,804"
Coal,FL,"27,176","36,267","39,644","43,281","46,691","55,189","70,146","96,160","103,172","104,100","116,720","117,154","123,613","152,578","146,604","133,463","141,836","159,934","175,522","202,251","225,457","236,471","240,178","318,946","378,652","472,352","459,413","586,620","611,464","636,640","633,390","650,316","649,439","654,527","663,382","686,924","745,817","751,335","749,474","716,280","760,439","725,890","719,670","723,832","699,055","672,309","696,215","720,824","693,161","581,517","637,416","552,730","482,984","505,155","557,882","466,530","426,188","407,538"
